VariabelenaamODiN2023	VariabelelabelODiN2023	Niveau	CodeODiN2023	CodelabelODiN2023	Korteomschrijving	G	H	I	J	K	L
"VertMRDH"	"Metropoolregio Rotterdam Den Haag vertrekpunt"	"V"	""	""	"Zie tabblad MRDH voor een toelichting op de geografische indeling."						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen vertrekpunt in Nederland"	""						
""	""	""	"1"	"Den Haag Centrum"	""						
""	""	""	"2"	"Den Haag Zuidwest"	""						
""	""	""	"3"	"Den Haag Noordwest"	""						
""	""	""	"4"	"Den Haag Oost"	""						
""	""	""	"5"	"Haaglanden Zuidwest"	""						
""	""	""	"6"	"Haaglanden Zuid"	""						
""	""	""	"7"	"Haaglanden Oost"	""						
""	""	""	"8"	"Haaglanden Noord"	""						
""	""	""	"9"	"Rotterdam Noord - zuid"	""						
""	""	""	"10"	"Rotterdam Noord - noordoost"	""						
""	""	""	"11"	"Rotterdam Noord - noordwest"	""						
""	""	""	"12"	"Rotterdam Zuid"	""						
""	""	""	"13"	"Rijnmond Noordwest"	""						
""	""	""	"14"	"Rijnmond Noord/Noordoost"	""						
""	""	""	"15"	"Rozenburg en Voorne Putten"	""						
""	""	""	"16"	"Rijnmond Zuid/Zuidoost"	""						
""	""	""	"17"	"Rest Zuid-Holland"	""						
""	""	""	"18"	"Rest Nederland"	""						
""	""	""	"99"	"Onbekend"	""						
"VertUtr"	"Provincie Utrecht vertrekpunt"	"P"	""	""	"Zie tabblad Utr voor een toelichting op de geografische indeling."						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen vertrekpunt in Nederland"	""						
""	""	""	"1"	"De Ronde Venen en Stichtse Vecht (noord)"	""						
""	""	""	"2"	"Stichtse Vecht (zuid)"	""						
""	""	""	"3"	"Woerden"	""						
""	""	""	"4"	"Lopik, Montfoort, IJsselstein en Oudewater"	""						
""	""	""	"5"	"Vijfheerenlanden"	""						
""	""	""	"6"	"De Bilt en Zeist (noord)"	""						
""	""	""	"7"	"Zeist (zuid)"	""						
""	""	""	"8"	"Nieuwegein"	""						
""	""	""	"9"	"Houten "	""						
""	""	""	"10"	"Utrechtse Heuvelrug (west) en Bunnik"	""						
""	""	""	"11"	"Utrechtse Heuvelrug (oost), Wijk bij Duurstede en Rhenen"	""						
""	""	""	"12"	"Renswoude en Veenendaal"	""						
""	""	""	"13"	"Baarn, Eemnes en Soest (noord)"	""						
""	""	""	"14"	"Amersfoort (zuid), Leusden, Soest (zuid) en Woudenberg"	""						
""	""	""	"15"	"Amersfoort (midden)"	""						
""	""	""	"16"	"Amersfoort (noord) en Bunschoten"	""						
""	""	""	"17"	"Utrecht: West, Noordwest en Overvecht"	""						
""	""	""	"18"	"Utrecht: Noordoost en Oost"	""						
""	""	""	"19"	"Utrecht: Binnenstad,  Zuid en Zuidwest"	""						
""	""	""	"20"	"Utrecht: Leidsche Rijn en Vleuten-De Meern"	""						
""	""	""	"21"	"Rest Nederland"	""						
""	""	""	"99"	"Onbekend"	""						
"AankGeb"	"Aankomstgebied"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Nederland"	""						
""	""	""	"1..99"	"{zie tabblad VertGeb & AankGeb}"	""						
"AankPC"	"Postcode aankomstpunt"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing"	""						
""	""	""	"0"	"Geen aankomstpunt in Nederland"	""						
""	""	""	"0000"	"Aankomstpostcode in Nederland onbekend"	""						
""	""	""	"1000..9999"	""	""						
"AankPCBL"	"Postcode aankomstpunt in het buitenland"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing"	""						
""	""	""	"0"	"Geen aankomstpunt in België of Duitsland"	""						
""	""	""	"1"	"Aankomstpunt in Nederland"	""						
""	""	""	"0000"	"Aankomstpostcode in België onbekend"	""						
""	""	""	"00000"	"Aankomstpostcode in Duitsland onbekend"	""						
""	""	""	"1000..9999"	"Postcode in België"	""						
""	""	""	"01000..99999"	"Postcode in Duitsland"	""						
"AankGem"	"Aankomstgemeente"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen aankomstpunt in Nederland"	""						
""	""	""	"14..1992"	"{zie tabblad Wogem}"	""						
""	""	""	"9999"	"Onbekend"	""						
"AankProv"	"Aankomstprovincie"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen aankomstpunt in Nederland"	""						
""	""	""	"1"	"Groningen"	""						
""	""	""	"2"	"Fryslân"	""						
""	""	""	"3"	"Drenthe"	""						
""	""	""	"4"	"Overijssel"	""						
""	""	""	"5"	"Flevoland"	""						
""	""	""	"6"	"Gelderland"	""						
""	""	""	"7"	"Utrecht"	""						
""	""	""	"8"	"Noord-Holland"	""						
""	""	""	"9"	"Zuid-Holland"	""						
""	""	""	"10"	"Zeeland"	""						
""	""	""	"11"	"Noord-Brabant"	""						
""	""	""	"12"	"Limburg"	""						
""	""	""	"99"	"Onbekend"	""						
"AankCorop"	"Coropgebied aankomstpunt "	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen aankomstpunt in Nederland"	""						
""	""	""	"1..40"	"{zie tabblad Corop}"	""						
""	""	""	"99"	"Onbekend"	""						
"AankMRA"	"Metropoolregio Amsterdam aankomstpunt"	"V"	""	""	"Zie tabblad MRA voor een toelichting op de geografische indeling."						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen aankomstpunt in Nederland"	""						
""	""	""	"1"	"Stadsdeel Centrum"	""						
""	""	""	"2"	"Stadsdeel Noord"	""						
""	""	""	"3"	"Stadsdeel West (incl. Westpoort)"	""						
""	""	""	"4"	"Stadsdeel Nieuw-West"	""						
""	""	""	"5"	"Stadsdeel Zuid"	""						
""	""	""	"6"	"Stadsdeel Oost"	""						
""	""	""	"7"	"Stadsdeel Zuidoost"	""						
""	""	""	"8"	"Stadsgebied Weesp"	""						
""	""	""	"9"	"Basisregio Waterland"	""						
""	""	""	"10"	"Basisregio Zaanstreek"	""						
""	""	""	"11"	"Basisregio IJmond"	""						
""	""	""	"12"	"Basisregio Zuid-Kennemerland"	""						
""	""	""	"13"	"Basisregio Meerlanden"	""						
""	""	""	"14"	"Basisregio Amstelland"	""						
""	""	""	"15"	"Basisregio Gooi en Vechtstreek"	""						
""	""	""	"16"	"Basisregio Almere + Zeewolde"	""						
""	""	""	"17"	"Basisregio Lelystad + Dronten"	""						
""	""	""	"18"	"Noord-Holland Noord – Regio Alkmaar"	""						
""	""	""	"19"	"Noord-Holland Noord – West-Friesland"	""						
""	""	""	"20"	"Noord-Holland Noord – Kop van Noord-Holland"	""						
""	""	""	"21"	"Urk & Noordoostpolder"	""						
""	""	""	"22"	"Rest Nederland"	""						
""	""	""	"99"	"Onbekend"	""						
"AankMRDH"	"Metropoolregio Rotterdam Den Haag aankomstpunt"	"V"	""	""	"Zie tabblad MRDH voor een toelichting op de geografische indeling."						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen aankomstpunt in Nederland"	""						
""	""	""	"1"	"Den Haag Centrum"	""						
""	""	""	"2"	"Den Haag Zuidwest"	""						
""	""	""	"3"	"Den Haag Noordwest"	""						
""	""	""	"4"	"Den Haag Oost"	""						
""	""	""	"5"	"Haaglanden Zuidwest"	""						
""	""	""	"6"	"Haaglanden Zuid"	""						
""	""	""	"7"	"Haaglanden Oost"	""						
""	""	""	"8"	"Haaglanden Noord"	""						
""	""	""	"9"	"Rotterdam Noord - zuid"	""						
""	""	""	"10"	"Rotterdam Noord - noordoost"	""						
""	""	""	"11"	"Rotterdam Noord - noordwest"	""						
""	""	""	"12"	"Rotterdam Zuid"	""						
""	""	""	"13"	"Rijnmond Noordwest"	""						
""	""	""	"14"	"Rijnmond Noord/Noordoost"	""						
""	""	""	"15"	"Rozenburg en Voorne Putten"	""						
""	""	""	"16"	"Rijnmond Zuid/Zuidoost"	""						
""	""	""	"17"	"Rest Zuid-Holland"	""						
""	""	""	"18"	"Rest Nederland"	""						
""	""	""	"99"	"Onbekend"	""						
"AankUtr"	"Provincie Utrecht aankomstpunt"	"P"	""	""	"Zie tabblad Utr voor een toelichting op de geografische indeling."						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen aankomstpunt in Nederland"	""						
""	""	""	"1"	"De Ronde Venen en Stichtse Vecht (noord)"	""						
""	""	""	"2"	"Stichtse Vecht (zuid)"	""						
""	""	""	"3"	"Woerden"	""						
""	""	""	"4"	"Lopik, Montfoort, IJsselstein en Oudewater"	""						
""	""	""	"5"	"Vijfheerenlanden"	""						
""	""	""	"6"	"De Bilt en Zeist (noord)"	""						
""	""	""	"7"	"Zeist (zuid)"	""						
""	""	""	"8"	"Nieuwegein"	""						
""	""	""	"9"	"Houten "	""						
""	""	""	"10"	"Utrechtse Heuvelrug (west) en Bunnik"	""						
""	""	""	"11"	"Utrechtse Heuvelrug (oost), Wijk bij Duurstede en Rhenen"	""						
""	""	""	"12"	"Renswoude en Veenendaal"	""						
""	""	""	"13"	"Baarn, Eemnes en Soest (noord)"	""						
""	""	""	"14"	"Amersfoort (zuid), Leusden, Soest (zuid) en Woudenberg"	""						
""	""	""	"15"	"Amersfoort (midden)"	""						
""	""	""	"16"	"Amersfoort (noord) en Bunschoten"	""						
""	""	""	"17"	"Utrecht: West, Noordwest en Overvecht"	""						
""	""	""	"18"	"Utrecht: Noordoost en Oost"	""						
""	""	""	"19"	"Utrecht: Binnenstad,  Zuid en Zuidwest"	""						
""	""	""	"20"	"Utrecht: Leidsche Rijn en Vleuten-De Meern"	""						
""	""	""	"21"	"Rest Nederland"	""						
""	""	""	"99"	"Onbekend"	""						
"PCG"	"Nederlandse postcode grensovergang"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing"	""						
""	""	""	"0"	"Geen grensovergang"	""						
""	""	""	"0000"	"Grenspostcode in Nederland onbekend"	""						
""	""	""	"1000..9999"	""	""						
"GemG"	"Nederlandse gemeente grensovergang"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Geen grensovergang"	""						
""	""	""	"14..1991"	"{zie tabblad Wogem}"	""						
""	""	""	"9999"	"Onbekend"	""						
"PCBLG"	"Buitenlandse postcode grensovergang"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing"	""						
""	""	""	"0"	"Geen grensovergang"	""						
""	""	""	"00000"	"Grenspostcode in buitenland onbekend"	""						
""	""	""	"1000..9999"	"Grenspostcode in België"	""						
""	""	""	"01000..99999"	"Grenspostcode in Duitsland"	""						
"AfstV"	"Verplaatsingsafstand in Nederland (in hectometers)"	"V"	""	""	"Is gelijk aan de som van alle reguliere ritafstanden (ritten met Rit=1)."						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0"	"Geen reguliere verplaatsing in Nederland"	""						
""	""	""	"1..99999"	""	""						
"KAfstV"	"Verplaatsingsafstandsklasse in Nederland"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0"	"Geen reguliere verplaatsing in Nederland"	""						
""	""	""	"1"	"0,1 tot 0,5 km"	""						
""	""	""	"2"	"0,5 tot 1,0 km"	""						
""	""	""	"3"	"1,0 tot 2,5 km"	""						
""	""	""	"4"	"2,5 tot 3,7 km"	""						
""	""	""	"5"	"3,7 tot 5,0 km"	""						
""	""	""	"6"	"5,0 tot 7,5 km"	""						
""	""	""	"7"	"7,5 tot 10 km"	""						
""	""	""	"8"	"10 tot 15 km"	""						
""	""	""	"9"	"15 tot 20 km"	""						
""	""	""	"10"	"20 tot 30 km"	""						
""	""	""	"11"	"30 tot 40 km"	""						
""	""	""	"12"	"40 tot 50 km"	""						
""	""	""	"13"	"50 tot 75 km"	""						
""	""	""	"14"	"75 tot 100 km"	""						
""	""	""	"15"	"100 km of meer"	""						
"Hvm"	"Hoofdvervoermiddel verplaatsing"	"V"	""	""	"Deze variabele wordt zowel gebruikt voor reguliere als voor serieverplaatsingen."						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	"Bij reguliere verplaatsingen is het hoofdvervoermiddel met de grootste totale ritafstand binnen de verplaatsing."						
""	""	""	"1"	"Personenauto"	"Bij serieverplaatsingen wordt het hoofdvervoermiddel vastgesteld op basis van een prioritering (zie tabblad Toelichting)."						
""	""	""	"2"	"Trein"	""						
""	""	""	"3"	"Bus"	""						
""	""	""	"4"	"Tram"	""						
""	""	""	"5"	"Metro"	""						
""	""	""	"6"	"Speedpedelec"	""						
""	""	""	"7"	"Elektrische fiets"	""						
""	""	""	"8"	"Niet-elektrische fiets"	""						
""	""	""	"9"	"Te voet"	""						
""	""	""	"10"	"Touringcar"	""						
""	""	""	"11"	"Bestelauto"	""						
""	""	""	"12"	"Vrachtwagen"	""						
""	""	""	"13"	"Camper"	""						
""	""	""	"14"	"Taxi/Taxibusje"	""						
""	""	""	"15"	"Landbouwvoertuig"	""						
""	""	""	"16"	"Motor"	""						
""	""	""	"17"	"Bromfiets"	""						
""	""	""	"18"	"Snorfiets"	""						
""	""	""	"19"	"Gehandicaptenvervoermiddel met motor"	""						
""	""	""	"20"	"Gehandicaptenvervoermiddel zonder motor"	""						
""	""	""	"21"	"Skates/skeelers/step"	""						
""	""	""	"22"	"Boot"	""						
""	""	""	"23"	"Anders met motor"	""						
""	""	""	"24"	"Anders zonder motor"	""						
"HvmRol"	"Rol in het hoofdvervoermiddel"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1"	"Bestuurder"	""						
""	""	""	"2"	"Passagier"	""						
""	""	""	"3"	"Onbekend"	""						
""	""	""	"4"	"Niet van toepassing; hoofdvervoermiddel is geen personen- of bestelauto"	""						
"KHvm"	"Hoofdvervoermiddelklasse verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1"	"Personenauto - bestuurder"	""						
""	""	""	"2"	"Personenauto - passagier"	""						
""	""	""	"3"	"Trein"	""						
""	""	""	"4"	"Bus/tram/metro"	""						
""	""	""	"5"	"Fiets"	""						
""	""	""	"6"	"Te voet"	""						
""	""	""	"7"	"Overig"	""						
"VertUur"	"Vertrekuur verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0..23"	""	""						
"VertMin"	"Vertrekminuut verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0..59"	""	""						
"KVertTijd"	"Vertrektijdklasse"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"1"	"0 tot 4.00 uur"	""						
""	""	""	"2"	"4.00 tot 7.00 uur"	""						
""	""	""	"3"	"7.00 tot 8.00 uur"	""						
""	""	""	"4"	"8.00 tot 9.00 uur"	""						
""	""	""	"5"	"9.00 tot 12.00 uur"	""						
""	""	""	"6"	"12.00 tot 13.00 uur"	""						
""	""	""	"7"	"13.00 tot 14.00 uur"	""						
""	""	""	"8"	"14.00 tot 16.00 uur"	""						
""	""	""	"9"	"16.00 tot 17.00 uur"	""						
""	""	""	"10"	"17.00 tot 18.00 uur"	""						
""	""	""	"11"	"18.00 tot 19.00 uur"	""						
""	""	""	"12"	"19.00 tot 20.00 uur"	""						
""	""	""	"13"	"20.00 tot 24.00 uur"	""						
"AankUur"	"Aankomstuur verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0..47"	""	""						
"AankMin"	"Aankomstminuut verplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0..59"	""	""						
"Reisduur"	"Reisduur in Nederland (in minuten)"	"V"	""	""	"Het totaal van de reguliere ritreisduren (van ritten met Rit=1) en de wacht- en overstaptijden tussen die ritten."						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0"	"Geen reguliere verplaatsing in Nederland"	""						
""	""	""	"1..9999"	""	""						
"KReisduur"	"Reisduurklasse in Nederland"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0"	"Geen reguliere verplaatsing in Nederland"	""						
""	""	""	"1"	"1 tot 5 minuten"	""						
""	""	""	"2"	"5 tot 10 minuten"	""						
""	""	""	"3"	"10 tot 15 minuten"	""						
""	""	""	"4"	"15 tot 20 minuten"	""						
""	""	""	"5"	"20 tot 25 minuten"	""						
""	""	""	"6"	"25 tot 30 minuten"	""						
""	""	""	"7"	"30 tot 45 minuten"	""						
""	""	""	"8"	"45 tot 60 minuten"	""						
""	""	""	"9"	"60 tot 90 minuten"	""						
""	""	""	"10"	"90 tot 120 minuten"	""						
""	""	""	"11"	"120 minuten of meer"	""						
"ActDuur"	"Activiteitsduur (in minuten)"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of laatste verplaatsing of serieverplaatsing"	""						
""	""	""	"0..9999"	""	""						
"Kind6"	"Kind(eren) jonger dan 6 mee"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Onbekend"	""						
"VolgWerk"	"Opeenvolging werkverplaatsingen"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"1"	"Separate verplaatsing vanwege werk"	""						
""	""	""	"2"	"1e van 2 opeenvolgende verplaatsingen vanwege werk"	""						
""	""	""	"3"	"2e van 2 opeenvolgende verplaatsingen vanwege werk"	""						
""	""	""	"4"	"1e van 3 opeenvolgende verplaatsingen vanwege werk"	""						
""	""	""	"5"	"2e van 3 opeenvolgende verplaatsingen vanwege werk"	""						
""	""	""	"6"	"3e van 3 opeenvolgende verplaatsingen vanwege werk"	""						
""	""	""	"7"	"1e van door serie opgevolgde verplaatsing vanwege werk"	""						
""	""	""	"8"	"Serieverplaatsing vanwege werk"	""						
""	""	""	"9"	"Niet van toepassing; geen verplaatsing vanwege werk"	""						
"SAantAdr"	"Aantal bezochte adressen serieverplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"1"	"3"	""						
""	""	""	"2"	"4"	""						
""	""	""	"3"	"5"	""						
""	""	""	"4"	"6 t/m 10 "	""						
""	""	""	"5"	"11 t/m 20"	""						
""	""	""	"6"	"21 of meer"	""						
""	""	""	"7"	"Onbekend"	""						
"SDezPlts"	"Alle adressen in dezelfde plaats"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
"SPlaats1"	"Plaatsnaam 1"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing of geen serieverplaatsing"	""						
""	""	""	""	"plaatsnaam of <geen plaatsnaam gerespondeerd>"	""						
"SPlaats2"	"Plaatsnaam 2"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing of geen serieverplaatsing"	""						
""	""	""	""	"plaatsnaam of <geen plaatsnaam gerespondeerd>"	""						
"SPlaats3"	"Plaatsnaam 3"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing of geen serieverplaatsing"	""						
""	""	""	""	"plaatsnaam of <geen plaatsnaam gerespondeerd>"	""						
"SPlaats4"	"Plaatsnaam 4"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing of geen serieverplaatsing"	""						
""	""	""	""	"plaatsnaam of <geen plaatsnaam gerespondeerd>"	""						
"SPlaats5"	"Plaatsnaam 5"	"V"	""	""	""						
""	""	""	"<leeg>"	"leeg indien geen verplaatsing of geen serieverplaatsing"	""						
""	""	""	""	"plaatsnaam of <geen plaatsnaam gerespondeerd>"	""						
"AfstS"	"Afstand serieverplaatsing in Nederland (in hectometers)"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"1..99999"	""	""						
"AfstSBL"	"Afstand serieverplaatsing in het buitenland (in hectometers)"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"0"	"Geen afstand in het buitenland"	""						
""	""	""	"1..99999"	""	""						
"SVvm1"	"Eerste vervoermiddel serieverplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"1"	"Personenauto"	""						
""	""	""	"2"	"Trein"	""						
""	""	""	"3"	"Bus"	""						
""	""	""	"4"	"Tram"	""						
""	""	""	"5"	"Metro"	""						
""	""	""	"6"	"Speedpedelec"	""						
""	""	""	"7"	"Elektrische fiets"	""						
""	""	""	"8"	"Niet-elektrische fiets"	""						
""	""	""	"9"	"Te voet"	""						
""	""	""	"10"	"Touringcar"	""						
""	""	""	"11"	"Bestelauto"	""						
""	""	""	"12"	"Vrachtwagen"	""						
""	""	""	"13"	"Camper"	""						
""	""	""	"14"	"Taxi/Taxibusje"	""						
""	""	""	"15"	"Landbouwvoertuig"	""						
""	""	""	"16"	"Motor"	""						
""	""	""	"17"	"Bromfiets"	""						
""	""	""	"18"	"Snorfiets"	""						
""	""	""	"19"	"Gehandicaptenvervoermiddel met motor"	""						
""	""	""	"20"	"Gehandicaptenvervoermiddel zonder motor"	""						
""	""	""	"21"	"Skates/skeelers/step"	""						
""	""	""	"22"	"Boot"	""						
""	""	""	"23"	"Anders met motor"	""						
""	""	""	"24"	"Anders zonder motor"	""						
"SVvm2"	"Tweede vervoermiddel serieverplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"1"	"Personenauto"	""						
""	""	""	"2"	"Trein"	""						
""	""	""	"3"	"Bus"	""						
""	""	""	"4"	"Tram"	""						
""	""	""	"5"	"Metro"	""						
""	""	""	"6"	"Speedpedelec"	""						
""	""	""	"7"	"Elektrische fiets"	""						
""	""	""	"8"	"Niet-elektrische fiets"	""						
""	""	""	"9"	"Te voet"	""						
""	""	""	"10"	"Touringcar"	""						
""	""	""	"11"	"Bestelauto"	""						
""	""	""	"12"	"Vrachtwagen"	""						
""	""	""	"13"	"Camper"	""						
""	""	""	"14"	"Taxi/Taxibusje"	""						
""	""	""	"15"	"Landbouwvoertuig"	""						
""	""	""	"16"	"Motor"	""						
""	""	""	"17"	"Bromfiets"	""						
""	""	""	"18"	"Snorfiets"	""						
""	""	""	"19"	"Gehandicaptenvervoermiddel met motor"	""						
""	""	""	"20"	"Gehandicaptenvervoermiddel zonder motor"	""						
""	""	""	"21"	"Skates/skeelers/step"	""						
""	""	""	"22"	"Boot"	""						
""	""	""	"23"	"Anders met motor"	""						
""	""	""	"24"	"Anders zonder motor"	""						
""	""	""	"25"	"Niet van toepassing; geen tweede vervoermiddel"	""						
"SVvm3"	"Derde vervoermiddel serieverplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"1"	"Personenauto"	""						
""	""	""	"2"	"Trein"	""						
""	""	""	"3"	"Bus"	""						
""	""	""	"4"	"Tram"	""						
""	""	""	"5"	"Metro"	""						
""	""	""	"6"	"Speedpedelec"	""						
""	""	""	"7"	"Elektrische fiets"	""						
""	""	""	"8"	"Niet-elektrische fiets"	""						
""	""	""	"9"	"Te voet"	""						
""	""	""	"10"	"Touringcar"	""						
""	""	""	"11"	"Bestelauto"	""						
""	""	""	"12"	"Vrachtwagen"	""						
""	""	""	"13"	"Camper"	""						
""	""	""	"14"	"Taxi/Taxibusje"	""						
""	""	""	"15"	"Landbouwvoertuig"	""						
""	""	""	"16"	"Motor"	""						
""	""	""	"17"	"Bromfiets"	""						
""	""	""	"18"	"Snorfiets"	""						
""	""	""	"19"	"Gehandicaptenvervoermiddel met motor"	""						
""	""	""	"20"	"Gehandicaptenvervoermiddel zonder motor"	""						
""	""	""	"21"	"Skates/skeelers/step"	""						
""	""	""	"22"	"Boot"	""						
""	""	""	"23"	"Anders met motor"	""						
""	""	""	"24"	"Anders zonder motor"	""						
""	""	""	"25"	"Niet van toepassing; geen derde vervoermiddel"	""						
"SVvm4"	"Vierde vervoermiddel serieverplaatsing"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"1"	"Personenauto"	""						
""	""	""	"2"	"Trein"	""						
""	""	""	"3"	"Bus"	""						
""	""	""	"4"	"Tram"	""						
""	""	""	"5"	"Metro"	""						
""	""	""	"6"	"Speedpedelec"	""						
""	""	""	"7"	"Elektrische fiets"	""						
""	""	""	"8"	"Niet-elektrische fiets"	""						
""	""	""	"9"	"Te voet"	""						
""	""	""	"10"	"Touringcar"	""						
""	""	""	"11"	"Bestelauto"	""						
""	""	""	"12"	"Vrachtwagen"	""						
""	""	""	"13"	"Camper"	""						
""	""	""	"14"	"Taxi/Taxibusje"	""						
""	""	""	"15"	"Landbouwvoertuig"	""						
""	""	""	"16"	"Motor"	""						
""	""	""	"17"	"Bromfiets"	""						
""	""	""	"18"	"Snorfiets"	""						
""	""	""	"19"	"Gehandicaptenvervoermiddel met motor"	""						
""	""	""	"20"	"Gehandicaptenvervoermiddel zonder motor"	""						
""	""	""	"21"	"Skates/skeelers/step"	""						
""	""	""	"22"	"Boot"	""						
""	""	""	"23"	"Anders met motor"	""						
""	""	""	"24"	"Anders zonder motor"	""						
""	""	""	"25"	"Niet van toepassing; geen vierde vervoermiddel"	""						
"SBegUur"	"Beginuur serie"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"0..23"	""	""						
"SBegMin"	"Beginminuut serie"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"0..59"	""	""						
"SEindUur"	"Einduur serie"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"0..47"	""	""						
""	""	""	"99"	"Onbekend"	""						
"SEindMin"	"Eindminuut serie"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien geen serieverplaatsing"	""						
""	""	""	"0..59"	""	""						
""	""	""	"99"	"Onbekend"	""						
"CorrVerpl"	"Correctie verplaatsingen naar ritten"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing of indien een serieverplaatsing"	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
"GehBLVer"	"Geheel buitenlandse verplaatsing verwijderd"	"V"	""	""	""						
""	""	""	"<missing>"	"missing indien geen verplaatsing"	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja, hiervoor"	""						
""	""	""	"2"	"Ja, hierna"	""						
""	""	""	"3"	"Ja, hiervoor en hierna"	""						
"Rit"	"Nieuwe rit"	"R"	""	""	""						
